booking_id,date,room_id,room_type,status,price,guest_count,check_in,check_out,wifi,parking,breakfast,season,occupancy_level,guest_name,country,payment_method,booking_channel,stay_purpose,discount_pct,review_score,special_request
B070001,2025-07-21,R489,Deluxe,Available,198.38,0,,,Yes,No,Yes,Low,Low,,,,,,11,4.8,
B070002,2025-07-07,R253,Suite,Available,366.72,0,,,No,Yes,Yes,Low,Low,,,,,,1,4.1,
B070003,2025-07-21,R168,Suite,Cancelled,417.25,3,2025-07-21,2025-07-26,Yes,No,No,Low,Low,John Smith,Germany,Credit Card,Travel Agent,Leisure,1,3.8,Late check-in
B070004,2025-07-23,R113,Deluxe,Available,208.08,0,,,Yes,No,No,Low,Low,,,,,,3,4.8,
B070005,2025-07-01,R462,Deluxe,No-Show,219.58,4,2025-07-01,2025-07-03,Yes,Yes,No,Low,Low,John Smith,UK,Debit Card,Travel Agent,Leisure,17,3.3,Extra towels
B070006,2025-07-15,R137,Suite,Booked,402.94,3,2025-07-15,2025-07-19,No,No,No,Low,Low,Hans Muller,USA,Credit Card,Direct,Leisure,9,3.3,Late check-in
B070007,2025-07-20,R478,Standard,Available,92.86,0,,,No,Yes,Yes,Low,Low,,,,,,8,4.2,
B070008,2025-07-03,R311,Standard,Booked,93.43,4,2025-07-03,2025-07-05,Yes,Yes,Yes,Low,Low,John Smith,Japan,Credit Card,OTA,Business,12,3.7,Extra towels
B070009,2025-07-22,R332,Standard,Cancelled,96.84,1,2025-07-22,2025-07-23,Yes,No,No,Low,Low,Emma Jones,Canada,Credit Card,Travel Agent,Business,12,4.0,None
B070010,2025-07-03,R139,Suite,Available,401.57,0,,,Yes,Yes,Yes,Low,Low,,,,,,19,3.9,
B070011,2025-07-22,R189,Standard,Available,98.08,0,,,Yes,No,No,Low,Low,,,,,,18,3.8,
B070012,2025-07-23,R184,Deluxe,Booked,187.95,1,2025-07-23,2025-07-28,Yes,No,No,Low,Low,Marie Dubois,Canada,Debit Card,OTA,Leisure,5,4.8,Late check-in
B070013,2025-07-14,R380,Standard,No-Show,91.66,2,2025-07-14,2025-07-15,No,Yes,No,Low,Low,Hans Muller,France,Cash,OTA,Leisure,18,4.7,None
B070014,2025-07-22,R354,Deluxe,Cancelled,196.95,3,2025-07-22,2025-07-27,Yes,No,Yes,Low,Low,John Smith,USA,Cash,Travel Agent,Leisure,12,4.4,Late check-in
B070015,2025-07-14,R147,Standard,Available,101.39,0,,,No,No,Yes,Low,Low,,,,,,3,4.3,
B070016,2025-07-16,R394,Deluxe,Available,208.15,0,,,Yes,Yes,Yes,Low,Low,,,,,,18,3.0,
B070017,2025-07-18,R289,Standard,Booked,97.44,4,2025-07-18,2025-07-21,Yes,No,No,Low,Low,Emma Jones,Canada,Credit Card,Direct,Business,12,3.4,Late check-in
B070018,2025-07-25,R262,Suite,Available,436.61,0,,,No,No,Yes,Low,Low,,,,,,7,4.0,
B070019,2025-07-26,R391,Deluxe,Booked,190.17,1,2025-07-26,2025-07-30,Yes,Yes,No,Low,Low,John Smith,UK,Debit Card,Travel Agent,Business,16,3.8,Extra towels
B070020,2025-07-25,R146,Suite,Booked,375.4,2,2025-07-25,2025-07-28,Yes,Yes,Yes,Low,Low,Emma Jones,Japan,Credit Card,OTA,Leisure,8,3.6,None
B070021,2025-07-09,R110,Standard,Available,90.03,0,,,No,No,No,Low,Low,,,,,,5,3.3,
B070022,2025-07-04,R384,Deluxe,Available,189.93,0,,,No,Yes,No,Low,Low,,,,,,20,4.2,
B070023,2025-07-05,R485,Deluxe,Available,188.17,0,,,No,No,Yes,Low,Low,,,,,,5,4.2,
B070024,2025-07-28,R385,Suite,Available,432.29,0,,,Yes,No,No,Low,Low,,,,,,6,4.0,
B070025,2025-07-14,R469,Suite,Booked,366.99,2,2025-07-14,2025-07-18,Yes,No,No,Low,Low,Marie Dubois,Germany,Cash,Direct,Leisure,18,4.2,Extra towels
B070026,2025-07-18,R357,Standard,Available,97.21,0,,,No,Yes,No,Low,Low,,,,,,4,4.2,
B070027,2025-07-25,R276,Suite,Available,430.98,0,,,Yes,No,No,Low,Low,,,,,,20,4.3,
B070028,2025-07-03,R137,Standard,Booked,103.98,4,2025-07-03,2025-07-08,Yes,No,Yes,Low,Low,Yuki Tanaka,France,Cash,OTA,Business,6,4.4,Extra towels
B070029,2025-07-09,R145,Deluxe,Booked,215.72,1,2025-07-09,2025-07-12,Yes,Yes,No,Low,Low,Yuki Tanaka,UK,Debit Card,OTA,Leisure,17,3.1,None
B070030,2025-07-03,R165,Deluxe,No-Show,188.32,4,2025-07-03,2025-07-04,Yes,No,No,Low,Low,Hans Muller,USA,Cash,Travel Agent,Business,17,4.8,None
B070031,2025-07-10,R482,Deluxe,Available,183.06,0,,,Yes,No,No,Low,Low,,,,,,7,4.2,
B070032,2025-07-20,R214,Suite,Booked,421.74,3,2025-07-20,2025-07-21,Yes,No,No,Low,Low,Hans Muller,Japan,Credit Card,Direct,Business,3,4.6,Extra towels
