booking_id,date,room_id,room_type,status,price,guest_count,check_in,check_out,wifi,parking,breakfast,season,occupancy_level,guest_name,country,payment_method,booking_channel,stay_purpose,discount_pct,review_score,special_request
B060001,2025-06-01,R158,Suite,Booked,571.93,3,2025-06-01,2025-06-04,No,No,No,Peak,High,Marie Dubois,UK,Debit Card,Direct,Business,1,3.3,None
B060002,2025-06-05,R186,Deluxe,Booked,277.5,3,2025-06-05,2025-06-07,Yes,No,No,Peak,High,Emma Jones,Germany,Cash,OTA,Business,14,4.3,None
B060003,2025-06-24,R465,Standard,Booked,160.34,4,2025-06-24,2025-06-29,Yes,Yes,No,Peak,High,Yuki Tanaka,Japan,Debit Card,Travel Agent,Business,1,3.9,None
B060004,2025-06-13,R146,Deluxe,Booked,306.56,1,2025-06-13,2025-06-16,No,No,No,Peak,High,Hans Muller,Japan,Cash,Direct,Leisure,8,4.0,None
B060005,2025-06-16,R141,Deluxe,Booked,292.44,2,2025-06-16,2025-06-18,Yes,Yes,Yes,Peak,High,Marie Dubois,Germany,Cash,Direct,Business,20,5.0,None
B060006,2025-06-15,R191,Suite,Booked,595.21,1,2025-06-15,2025-06-17,Yes,No,No,Peak,High,Hans Muller,Canada,Debit Card,OTA,Business,14,3.8,Late check-in
B060007,2025-06-07,R396,Deluxe,Available,327.64,0,,,No,Yes,Yes,Peak,High,,,,,,18,3.6,
B060008,2025-06-28,R333,Suite,Booked,582.82,2,2025-06-28,2025-06-29,Yes,No,Yes,Peak,High,Yuki Tanaka,France,Credit Card,OTA,Leisure,1,4.2,Extra towels
B060009,2025-06-04,R129,Deluxe,Booked,311.71,1,2025-06-04,2025-06-09,Yes,No,Yes,Peak,High,Hans Muller,Japan,Cash,OTA,Business,13,4.6,None
B060010,2025-06-19,R407,Standard,Booked,141.0,3,2025-06-19,2025-06-20,Yes,Yes,No,Peak,High,Hans Muller,UK,Cash,Travel Agent,Leisure,14,4.6,Late check-in
B060011,2025-06-05,R286,Deluxe,Booked,323.7,4,2025-06-05,2025-06-06,Yes,Yes,No,Peak,High,Yuki Tanaka,France,Debit Card,Direct,Leisure,17,4.5,None
B060012,2025-06-27,R395,Standard,Booked,136.13,2,2025-06-27,2025-06-29,Yes,Yes,Yes,Peak,High,Emma Jones,Japan,Debit Card,OTA,Leisure,3,4.4,None
B060013,2025-06-05,R214,Deluxe,Booked,295.67,2,2025-06-05,2025-06-07,Yes,Yes,Yes,Peak,High,Hans Muller,USA,Credit Card,Travel Agent,Leisure,8,4.6,Extra towels
B060014,2025-06-12,R113,Standard,Booked,158.97,2,2025-06-12,2025-06-15,No,Yes,Yes,Peak,High,Yuki Tanaka,Germany,Debit Card,Direct,Business,14,4.2,Late check-in
B060015,2025-06-19,R444,Deluxe,Booked,272.47,1,2025-06-19,2025-06-21,No,No,Yes,Peak,High,Yuki Tanaka,Japan,Credit Card,OTA,Business,15,3.3,None
B060016,2025-06-12,R235,Deluxe,Booked,296.37,1,2025-06-12,2025-06-13,No,No,Yes,Peak,High,John Smith,UK,Cash,OTA,Business,16,3.6,None
B060017,2025-06-16,R144,Standard,Booked,142.1,2,2025-06-16,2025-06-21,No,Yes,No,Peak,High,Hans Muller,USA,Cash,Travel Agent,Leisure,12,3.9,None
B060018,2025-06-04,R419,Standard,Booked,139.12,4,2025-06-04,2025-06-06,No,Yes,No,Peak,High,John Smith,Germany,Credit Card,OTA,Business,4,3.8,Late check-in
B060019,2025-06-03,R207,Suite,Booked,608.86,2,2025-06-03,2025-06-06,Yes,Yes,No,Peak,High,Marie Dubois,Japan,Debit Card,Travel Agent,Leisure,1,3.1,Extra towels
B060020,2025-06-08,R347,Deluxe,Booked,326.76,3,2025-06-08,2025-06-10,Yes,No,No,Peak,High,Yuki Tanaka,Germany,Credit Card,OTA,Leisure,7,4.9,None
B060021,2025-06-12,R306,Deluxe,Available,287.72,0,,,Yes,Yes,Yes,Peak,High,,,,,,18,4.0,
B060022,2025-06-28,R336,Deluxe,Available,325.32,0,,,No,Yes,No,Peak,High,,,,,,1,3.5,
B060023,2025-06-05,R250,Suite,Available,619.43,0,,,Yes,Yes,Yes,Peak,High,,,,,,7,4.8,
B060024,2025-06-09,R185,Deluxe,Booked,317.47,4,2025-06-09,2025-06-10,No,Yes,Yes,Peak,High,Marie Dubois,France,Debit Card,OTA,Leisure,0,3.2,Late check-in
B060025,2025-06-24,R186,Suite,Booked,575.89,3,2025-06-24,2025-06-25,Yes,No,Yes,Peak,High,Marie Dubois,Germany,Credit Card,Direct,Leisure,12,3.3,Late check-in
B060026,2025-06-01,R480,Suite,Booked,632.59,2,2025-06-01,2025-06-02,Yes,Yes,Yes,Peak,High,Emma Jones,UK,Debit Card,OTA,Business,19,4.5,Late check-in
B060027,2025-06-03,R393,Suite,Cancelled,545.9,2,2025-06-03,2025-06-07,No,No,No,Peak,High,Emma Jones,Germany,Credit Card,Travel Agent,Leisure,13,3.1,Extra towels
B060028,2025-06-21,R229,Suite,Booked,555.64,3,2025-06-21,2025-06-25,No,No,Yes,Peak,High,John Smith,France,Cash,OTA,Leisure,15,4.7,Late check-in
B060029,2025-06-05,R306,Standard,Cancelled,151.93,2,2025-06-05,2025-06-06,Yes,Yes,No,Peak,High,Yuki Tanaka,UK,Cash,Travel Agent,Business,8,3.7,Extra towels
B060030,2025-06-17,R325,Deluxe,Booked,319.67,2,2025-06-17,2025-06-20,Yes,No,No,Peak,High,Emma Jones,Japan,Credit Card,Direct,Business,1,3.5,Late check-in
B060031,2025-06-11,R141,Suite,Booked,553.03,4,2025-06-11,2025-06-16,Yes,No,Yes,Peak,High,Yuki Tanaka,Germany,Debit Card,Travel Agent,Leisure,11,4.9,Late check-in
B060032,2025-06-24,R203,Standard,Booked,162.87,3,2025-06-24,2025-06-29,Yes,No,Yes,Peak,High,John Smith,USA,Cash,Travel Agent,Business,11,3.9,Extra towels
B060033,2025-06-21,R474,Suite,Cancelled,657.72,4,2025-06-21,2025-06-23,Yes,No,Yes,Peak,High,Marie Dubois,Japan,Debit Card,Direct,Business,4,3.0,Late check-in
B060034,2025-06-12,R193,Suite,Booked,570.99,3,2025-06-12,2025-06-14,No,Yes,Yes,Peak,High,John Smith,Japan,Cash,Travel Agent,Leisure,15,3.5,None
B060035,2025-06-02,R397,Standard,Booked,160.2,1,2025-06-02,2025-06-05,No,No,No,Peak,High,Emma Jones,Germany,Credit Card,Direct,Business,12,4.2,Extra towels
B060036,2025-06-17,R190,Deluxe,Cancelled,289.43,1,2025-06-17,2025-06-18,No,No,Yes,Peak,High,Emma Jones,UK,Debit Card,OTA,Business,11,3.8,Late check-in
B060037,2025-06-02,R319,Suite,Booked,600.79,3,2025-06-02,2025-06-04,Yes,Yes,No,Peak,High,Hans Muller,Canada,Credit Card,Direct,Business,14,3.7,None
B060038,2025-06-09,R333,Suite,Booked,637.4,1,2025-06-09,2025-06-12,Yes,No,Yes,Peak,High,Yuki Tanaka,Canada,Cash,Travel Agent,Business,8,3.0,None
B060039,2025-06-25,R480,Suite,Available,646.12,0,,,No,No,No,Peak,High,,,,,,6,3.7,
B060040,2025-06-02,R345,Standard,No-Show,156.97,4,2025-06-02,2025-06-07,No,No,Yes,Peak,High,John Smith,France,Credit Card,OTA,Leisure,7,4.6,Extra towels
B060041,2025-06-27,R427,Deluxe,Cancelled,286.03,1,2025-06-27,2025-06-30,Yes,No,Yes,Peak,High,Yuki Tanaka,Germany,Debit Card,Direct,Leisure,16,3.6,Late check-in
B060042,2025-06-23,R202,Deluxe,Booked,310.57,3,2025-06-23,2025-06-25,No,Yes,Yes,Peak,High,Emma Jones,Germany,Cash,Travel Agent,Business,0,3.1,None
B060043,2025-06-21,R483,Suite,Booked,658.76,3,2025-06-21,2025-06-24,Yes,Yes,No,Peak,High,Hans Muller,UK,Cash,Travel Agent,Business,6,4.0,Late check-in
B060044,2025-06-25,R311,Deluxe,No-Show,328.95,1,2025-06-25,2025-06-29,No,No,Yes,Peak,High,Yuki Tanaka,Canada,Credit Card,OTA,Leisure,2,4.6,Extra towels
B060045,2025-06-20,R306,Suite,Booked,633.46,2,2025-06-20,2025-06-24,No,Yes,Yes,Peak,High,John Smith,Canada,Credit Card,Travel Agent,Business,14,4.2,Late check-in
B060046,2025-06-27,R477,Deluxe,Booked,319.46,3,2025-06-27,2025-06-28,No,No,Yes,Peak,High,Yuki Tanaka,USA,Credit Card,Direct,Leisure,0,4.6,Late check-in
B060047,2025-06-05,R466,Suite,Booked,573.49,1,2025-06-05,2025-06-08,Yes,No,Yes,Peak,High,Yuki Tanaka,Germany,Debit Card,Direct,Leisure,6,4.2,Extra towels
B060048,2025-06-06,R470,Suite,Available,578.26,0,,,Yes,Yes,Yes,Peak,High,,,,,,2,3.9,
B060049,2025-06-13,R207,Suite,Available,600.61,0,,,Yes,Yes,No,Peak,High,,,,,,0,4.5,
B060050,2025-06-04,R401,Suite,No-Show,572.31,1,2025-06-04,2025-06-08,Yes,Yes,Yes,Peak,High,John Smith,France,Debit Card,Travel Agent,Business,10,4.6,None
B060051,2025-06-20,R289,Deluxe,Booked,322.92,3,2025-06-20,2025-06-23,No,Yes,Yes,Peak,High,Marie Dubois,Japan,Cash,OTA,Leisure,16,3.5,Late check-in
B060052,2025-06-07,R151,Deluxe,Booked,283.15,1,2025-06-07,2025-06-12,No,No,No,Peak,High,Marie Dubois,USA,Credit Card,Direct,Leisure,7,3.9,Late check-in
B060053,2025-06-27,R296,Standard,Cancelled,161.48,2,2025-06-27,2025-07-02,No,No,Yes,Peak,High,John Smith,Germany,Credit Card,OTA,Business,20,4.9,None
B060054,2025-06-22,R384,Suite,Booked,557.99,1,2025-06-22,2025-06-27,Yes,Yes,Yes,Peak,High,Emma Jones,UK,Cash,Travel Agent,Business,14,3.0,Late check-in
B060055,2025-06-13,R191,Suite,Booked,590.84,2,2025-06-13,2025-06-14,No,Yes,No,Peak,High,Hans Muller,France,Cash,Travel Agent,Business,14,3.8,None
B060056,2025-06-26,R277,Deluxe,Booked,290.81,3,2025-06-26,2025-06-29,No,Yes,No,Peak,High,Hans Muller,Canada,Debit Card,Direct,Business,14,3.3,Late check-in
B060057,2025-06-22,R131,Standard,No-Show,145.86,1,2025-06-22,2025-06-26,Yes,Yes,Yes,Peak,High,Emma Jones,Germany,Debit Card,OTA,Business,0,4.9,Late check-in
B060058,2025-06-13,R329,Deluxe,Available,320.81,0,,,Yes,No,Yes,Peak,High,,,,,,0,3.1,
B060059,2025-06-07,R370,Standard,Booked,156.18,1,2025-06-07,2025-06-08,No,Yes,Yes,Peak,High,Yuki Tanaka,Canada,Debit Card,OTA,Business,2,3.7,Extra towels
B060060,2025-06-24,R277,Standard,Booked,145.83,3,2025-06-24,2025-06-29,Yes,Yes,No,Peak,High,John Smith,Canada,Credit Card,Travel Agent,Business,0,4.3,Late check-in
B060061,2025-06-14,R499,Suite,Available,646.38,0,,,Yes,Yes,No,Peak,High,,,,,,10,3.7,
B060062,2025-06-22,R291,Standard,Booked,150.97,1,2025-06-22,2025-06-26,No,No,No,Peak,High,Emma Jones,Japan,Credit Card,OTA,Business,2,3.6,Extra towels
B060063,2025-06-22,R253,Deluxe,Booked,326.56,2,2025-06-22,2025-06-27,Yes,No,Yes,Peak,High,John Smith,UK,Cash,Direct,Business,2,4.0,None
B060064,2025-06-08,R360,Suite,Available,655.1,0,,,No,No,Yes,Peak,High,,,,,,1,4.5,
B060065,2025-06-11,R112,Deluxe,Booked,279.88,2,2025-06-11,2025-06-13,No,No,Yes,Peak,High,Emma Jones,USA,Debit Card,OTA,Leisure,20,4.1,None
