booking_id,date,room_id,room_type,status,price,guest_count,check_in,check_out,wifi,parking,breakfast,season,occupancy_level,guest_name,country,payment_method,booking_channel,stay_purpose,discount_pct,review_score,special_request
B050001,2025-05-25,R116,Suite,Booked,621.61,4,2025-05-25,2025-05-26,Yes,Yes,No,Peak,High,Emma Jones,Germany,Debit Card,OTA,Business,5,4.1,Extra towels
B050002,2025-05-02,R461,Standard,Booked,157.26,3,2025-05-02,2025-05-03,No,No,Yes,Peak,High,Hans Muller,Japan,Cash,OTA,Leisure,17,4.7,None
B050003,2025-05-23,R108,Suite,Booked,642.23,1,2025-05-23,2025-05-24,No,Yes,No,Peak,High,John Smith,USA,Cash,Travel Agent,Leisure,8,3.5,None
B050004,2025-05-09,R201,Standard,Available,149.95,0,,,No,Yes,No,Peak,High,,,,,,17,3.9,
B050005,2025-05-04,R476,Standard,Cancelled,155.65,3,2025-05-04,2025-05-08,Yes,Yes,Yes,Peak,High,John Smith,USA,Cash,OTA,Leisure,1,4.8,None
B050006,2025-05-03,R246,Standard,Booked,149.7,2,2025-05-03,2025-05-07,No,No,Yes,Peak,High,Hans Muller,USA,Debit Card,OTA,Business,6,4.2,Extra towels
B050007,2025-05-22,R393,Standard,Booked,151.73,4,2025-05-22,2025-05-26,No,No,Yes,Peak,High,John Smith,Japan,Credit Card,Direct,Business,8,3.9,Extra towels
B050008,2025-05-16,R449,Standard,Booked,143.48,3,2025-05-16,2025-05-19,Yes,Yes,Yes,Peak,High,John Smith,UK,Cash,Direct,Leisure,5,3.6,Extra towels
B050009,2025-05-21,R156,Suite,Booked,638.56,2,2025-05-21,2025-05-22,No,No,Yes,Peak,High,Emma Jones,UK,Credit Card,Travel Agent,Business,20,3.4,Late check-in
B050010,2025-05-14,R261,Standard,No-Show,137.49,4,2025-05-14,2025-05-16,No,Yes,Yes,Peak,High,Marie Dubois,UK,Cash,Direct,Business,8,4.9,None
B050011,2025-05-26,R274,Deluxe,Booked,310.33,3,2025-05-26,2025-05-31,No,No,No,Peak,High,Emma Jones,Germany,Credit Card,OTA,Leisure,7,3.5,None
B050012,2025-05-13,R166,Deluxe,Booked,289.73,3,2025-05-13,2025-05-14,Yes,Yes,Yes,Peak,High,John Smith,Canada,Cash,OTA,Leisure,19,4.2,None
B050013,2025-05-24,R244,Standard,Booked,162.01,4,2025-05-24,2025-05-25,Yes,Yes,No,Peak,High,John Smith,France,Credit Card,OTA,Leisure,0,3.1,Extra towels
B050014,2025-05-14,R438,Deluxe,Booked,299.77,3,2025-05-14,2025-05-16,Yes,No,Yes,Peak,High,Marie Dubois,Germany,Cash,OTA,Leisure,11,4.7,Extra towels
B050015,2025-05-12,R129,Standard,Booked,150.19,4,2025-05-12,2025-05-14,No,Yes,No,Peak,High,Marie Dubois,UK,Debit Card,Direct,Leisure,15,3.4,Extra towels
