booking_id,date,room_id,room_type,status,price,guest_count,check_in,check_out,wifi,parking,breakfast,season,occupancy_level,guest_name,country,payment_method,booking_channel,stay_purpose,discount_pct,review_score,special_request
B020001,2025-02-01,R327,Standard,Cancelled,111.07,4,2025-02-01,2025-02-06,No,No,Yes,Moderate,Medium,Emma Jones,UK,Credit Card,Direct,Business,16,4.9,None
B020002,2025-02-07,R122,Suite,No-Show,502.06,1,2025-02-07,2025-02-10,No,No,Yes,Moderate,Medium,Marie Dubois,Canada,Debit Card,Direct,Leisure,17,3.2,Late check-in
B020003,2025-02-17,R383,Suite,Available,486.49,0,,,No,No,Yes,Moderate,Medium,,,,,,15,4.2,
B020004,2025-02-02,R326,Suite,Booked,524.4,1,2025-02-02,2025-02-07,No,Yes,No,Moderate,Medium,Marie Dubois,Japan,Cash,OTA,Business,2,3.2,Extra towels
B020005,2025-02-05,R436,Suite,Available,509.01,0,,,No,No,No,Moderate,Medium,,,,,,8,4.0,
B020006,2025-02-20,R349,Suite,Booked,501.86,2,2025-02-20,2025-02-23,Yes,Yes,No,Moderate,Medium,Emma Jones,UK,Cash,Direct,Leisure,7,4.9,Extra towels
B020007,2025-02-02,R191,Suite,Available,487.87,0,,,Yes,Yes,Yes,Moderate,Medium,,,,,,9,3.9,
B020008,2025-02-21,R107,Deluxe,Available,229.82,0,,,Yes,Yes,No,Moderate,Medium,,,,,,3,4.1,
B020009,2025-02-08,R330,Suite,Booked,455.05,3,2025-02-08,2025-02-10,Yes,No,No,Moderate,Medium,John Smith,France,Debit Card,OTA,Leisure,2,4.4,None
B020010,2025-02-04,R421,Deluxe,Cancelled,232.38,3,2025-02-04,2025-02-07,No,No,No,Moderate,Medium,John Smith,UK,Debit Card,Direct,Leisure,9,3.0,Extra towels
B020011,2025-02-10,R475,Deluxe,Booked,223.96,3,2025-02-10,2025-02-11,Yes,No,Yes,Moderate,Medium,Yuki Tanaka,Germany,Credit Card,Direct,Leisure,7,3.7,None
B020012,2025-02-17,R195,Standard,Booked,111.81,3,2025-02-17,2025-02-22,No,Yes,No,Moderate,Medium,Hans Muller,Japan,Credit Card,Direct,Leisure,8,3.8,Late check-in
B020013,2025-02-23,R156,Standard,Booked,123.46,3,2025-02-23,2025-02-27,No,Yes,Yes,Moderate,Medium,Emma Jones,France,Credit Card,Direct,Leisure,2,4.2,Extra towels
B020014,2025-02-18,R181,Deluxe,Cancelled,261.61,3,2025-02-18,2025-02-23,Yes,Yes,No,Moderate,Medium,John Smith,UK,Debit Card,Direct,Business,19,3.4,Extra towels
B020015,2025-02-05,R414,Suite,Cancelled,473.93,3,2025-02-05,2025-02-10,Yes,Yes,Yes,Moderate,Medium,Hans Muller,UK,Cash,OTA,Leisure,12,4.5,None
B020016,2025-02-24,R246,Suite,Booked,440.65,2,2025-02-24,2025-02-26,No,No,Yes,Moderate,Medium,Yuki Tanaka,France,Cash,Direct,Business,13,3.3,None
B020017,2025-02-19,R410,Suite,Booked,458.08,3,2025-02-19,2025-02-24,No,Yes,No,Moderate,Medium,Yuki Tanaka,Germany,Debit Card,Travel Agent,Leisure,16,3.3,None
B020018,2025-02-21,R173,Standard,Available,126.86,0,,,Yes,No,No,Moderate,Medium,,,,,,1,4.8,
B020019,2025-02-28,R373,Suite,Cancelled,510.09,2,2025-02-28,2025-03-01,Yes,Yes,No,Moderate,Medium,John Smith,Japan,Cash,OTA,Leisure,6,4.4,None
B020020,2025-02-26,R428,Suite,Available,477.31,0,,,No,No,Yes,Moderate,Medium,,,,,,6,4.2,
B020021,2025-02-15,R141,Deluxe,Booked,245.51,3,2025-02-15,2025-02-16,No,Yes,Yes,Moderate,Medium,Yuki Tanaka,France,Cash,OTA,Leisure,20,3.5,Extra towels
B020022,2025-02-25,R243,Standard,Booked,126.55,3,2025-02-25,2025-03-02,No,Yes,No,Moderate,Medium,Emma Jones,Japan,Debit Card,OTA,Business,11,3.8,Extra towels
B020023,2025-02-10,R448,Standard,Booked,131.11,2,2025-02-10,2025-02-11,No,No,Yes,Moderate,Medium,John Smith,France,Debit Card,OTA,Leisure,16,4.3,Extra towels
B020024,2025-02-15,R328,Deluxe,Available,241.36,0,,,No,Yes,No,Moderate,Medium,,,,,,12,4.1,
B020025,2025-02-04,R331,Deluxe,Available,255.9,0,,,Yes,Yes,Yes,Moderate,Medium,,,,,,10,4.6,
B020026,2025-02-03,R258,Standard,Booked,124.44,1,2025-02-03,2025-02-08,No,Yes,Yes,Moderate,Medium,Emma Jones,UK,Credit Card,Travel Agent,Business,7,4.1,None
B020027,2025-02-21,R142,Deluxe,Booked,216.6,4,2025-02-21,2025-02-24,No,No,Yes,Moderate,Medium,Hans Muller,Canada,Cash,OTA,Leisure,0,3.7,None
B020028,2025-02-18,R429,Deluxe,Cancelled,224.85,4,2025-02-18,2025-02-23,Yes,No,No,Moderate,Medium,Hans Muller,UK,Debit Card,Travel Agent,Business,1,4.2,Extra towels
B020029,2025-02-28,R164,Deluxe,Available,248.49,0,,,Yes,No,Yes,Moderate,Medium,,,,,,4,4.4,
B020030,2025-02-14,R197,Suite,Available,521.9,0,,,Yes,No,Yes,Moderate,Medium,,,,,,8,3.7,
B020031,2025-02-13,R345,Deluxe,Booked,250.42,3,2025-02-13,2025-02-14,No,No,No,Moderate,Medium,Emma Jones,USA,Credit Card,Travel Agent,Leisure,5,3.3,Late check-in
B020032,2025-02-24,R373,Suite,Booked,453.36,4,2025-02-24,2025-02-27,No,No,Yes,Moderate,Medium,Emma Jones,France,Credit Card,Direct,Leisure,12,4.3,Late check-in
B020033,2025-02-06,R105,Deluxe,Booked,250.95,3,2025-02-06,2025-02-09,Yes,Yes,Yes,Moderate,Medium,Emma Jones,Germany,Credit Card,OTA,Leisure,1,3.9,Late check-in
B020034,2025-02-20,R205,Standard,Available,125.4,0,,,No,No,No,Moderate,Medium,,,,,,9,3.4,
B020035,2025-02-14,R461,Suite,Booked,510.8,3,2025-02-14,2025-02-18,No,Yes,No,Moderate,Medium,Hans Muller,France,Debit Card,Travel Agent,Leisure,20,3.5,None
